"Year","Session Date/Time","Date/Time","Species Code","Fence Trap","CCL(mm)","PL(mm)","Mass(g)","Sex","Dead?","Comments","Recapture","Toe-clip Code","SVL(mm)","VTL(mm)","Regen Tail?","OTL(mm)","Hatchling?","Predator?","ARAN","AUCH","BLAT","CHIL","COLE","CRUS","DERM","DIEL","DIPT","HETE","HYMA","HYMB","LEPI","MANT","ORTH","PSEU","SCOR","SOLI","THYS","UNKI","MICRO","HD-body"
"2020","2020/10/08 09:35:53","2020/10/08 09:49:41","UTST","A1","N/A","N/A","2.5","M","false","N/A","true","A5B5D1","44","24","true","23","false","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","2020/10/08 09:35:53","2020/10/08 09:48:09","N/A","B4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","false","2","0","0","0","0","0","0","0","1","0","8","0","0","0","0","0","0","0","5","0","0","N/A"
"2020","2020/10/08 08:45:04","2020/10/08 09:16:12","ASTI","C4","N/A","N/A","4","F","false","N/A","false","B3","57","146","false","N/A","false","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","2020/10/08 08:45:04","2020/10/08 09:10:39","ASTI","C4","N/A","N/A","9","F","false","N/A","false","B2","73","179","false","N/A","false","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","2020/10/08 08:45:04","2020/10/08 09:03:29","ASTI","C2","N/A","N/A","5","F","false","N/A","false","B1","63","165","false","N/A","false","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","2020/10/08 08:45:04","2020/10/08 08:58:00","ASTI","A1","N/A","N/A","7","F","false","N/A","false","A5","65","160","false","N/A","false","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","2020/10/08 08:45:04","2020/10/08 08:53:36","UTST","B4","N/A","N/A","2","F","false","N/A","true","A1B2C3","40","58","true","56","false","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","2020/10/08 08:45:04","2020/10/08 08:46:13","N/A","B4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","true","0","0","0","0","4","0","0","0","0","0","25","0","0","0","0","0","0","0","0","0","0","N/A"
"2020","2020/10/08 08:07:46","2020/10/08 08:32:09","ASTI","A1","N/A","N/A","6","F","false","N/A","false","A2","63","169","false","N/A","false","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","2020/10/08 08:07:46","2020/10/08 08:25:22","UTST","A4","N/A","N/A","4","M","false","N/A","false","A2","48","92","false","N/A","false","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","2020/10/08 08:07:46","2020/10/08 08:16:50","UTST","B4","N/A","N/A","2.5","F","false","N/A","false","A1","44","54","true","16","false","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","2020/10/08 08:07:46","2020/10/08 08:09:58","N/A","B4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","true","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","1","0","20","0","0","N/A"
"2020","2020/10/07 20:58:40","2020/10/07 20:59:16","N/A","C4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","false","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","N/A"
"2020","2020/10/07 20:57:33","2020/10/07 20:58:11","N/A","C4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","false","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","N/A"
"2020","2020/10/07 20:55:54","2020/10/07 20:56:44","N/A","C4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","false","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","N/A"
"2020","2020/10/07 20:54:44","2020/10/07 20:55:16","N/A","C4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","false","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","N/A"
"2020","2020/10/07 20:53:07","2020/10/07 20:53:55","N/A","C4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","false","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","N/A"
"2020","2020/10/07 20:50:56","2020/10/07 20:52:24","PERO","A1","N/A","N/A","4","U","false","juvenile","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","2020/10/07 20:50:56","2020/10/07 20:51:46","N/A","C4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","false","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","N/A"
"2020","2020/10/07 20:49:39","2020/10/07 20:50:25","N/A","C4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","false","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","N/A"
"2020","2020/10/07 20:47:21","2020/10/07 20:49:03","N/A","C4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","false","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","N/A"
"2020","2020/10/07 20:42:30","2020/10/07 20:43:42","PERO","B4","N/A","N/A","8","F","false","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","2020/10/07 20:42:30","2020/10/07 20:43:13","N/A","B4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","true","0","0","0","0","1","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","N/A"
"2020","2020/10/07 20:39:27","2020/10/07 20:41:39","UTST","C4","N/A","N/A","5","M","false","N/A","true","A1B1D3","52","87","true","63","false","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","2020/10/07 20:39:27","2020/10/07 20:40:12","N/A","B4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","false","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","N/A"
"2020","2020/10/07 20:36:33","2020/10/07 20:38:36","PERO","A4","N/A","N/A","7","M","false","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","2020/10/07 20:36:33","2020/10/07 20:38:13","UTST","A1","N/A","N/A","4.5","M","false","N/A","false","A1B1D3","52","98","false","N/A","false","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","2020/10/07 20:36:33","2020/10/07 20:37:13","N/A","B4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","false","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","N/A"
"2020","2020/10/07 20:32:03","2020/10/07 20:35:02","UTST","B4","N/A","N/A","6.5","M","false","N/A","false","A1B1D5","59","92","true","90","false","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","2020/10/07 20:32:03","2020/10/07 20:33:52","UTST","A1","N/A","N/A","3.5","F","false","N/A","false","A1B2C1","48","84","false","N/A","false","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","2020/10/07 20:32:03","2020/10/07 20:32:48","N/A","B4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","true","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","N/A"
"2020","2020/10/07 20:23:56","2020/10/07 20:28:23","UTST","A1","N/A","N/A","3.5","F","false","N/A","false","A1B1D2","49","59","true","13","false","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","2020/10/07 20:23:56","2020/10/07 20:27:11","UTST","B4","N/A","N/A","2.5","F","false","N/A","false","A1B1D1","46","68","true","66","false","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","2020/10/07 20:23:56","2020/10/07 20:25:13","N/A","B4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","true","0","0","0","0","3","0","0","0","0","0","20","0","0","0","0","0","0","0","0","0","0","N/A"
"2020","2020/10/07 20:20:51","2020/10/07 20:22:54","PERO","A1","N/A","N/A","5","U","false","juvenile","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","2020/10/07 20:20:51","2020/10/07 20:22:23","N/A","B4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","false","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","N/A"
"2020","2020/10/07 20:02:00","2020/10/07 20:04:18","UTST","A3","N/A","N/A","4","F","false","N/A","true","A1B1C2","50","84","false","N/A","false","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","2020/10/07 20:02:00","2020/10/07 20:02:46","N/A","B4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","false","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","N/A"
"2020","2020/10/07 19:59:23","2020/10/07 20:01:11","UTST","B4","N/A","N/A","5","M","false","N/A","false","A1B1D3","51","84","false","N/A","false","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","2020/10/07 19:59:23","2020/10/07 20:00:06","N/A","B4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","false","1","0","0","0","0","0","0","0","0","0","30","0","0","0","0","0","0","0","0","0","0","N/A"
"2020","2020/10/07 19:48:12","2020/10/07 19:49:57","UTST","A4","N/A","N/A","4.5","M","false","N/A","false","A1B1C5","55","91","false","N/A","false","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","2020/10/07 19:46:33","2020/10/07 19:47:16","N/A","A4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","false","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","N/A"
"2020","2020/10/07 19:33:29","2020/10/07 19:45:45","SCMA","A1","N/A","N/A","9","F","false","N/A","false","A1C2","62","93","false","N/A","false","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","2020/10/07 19:33:29","2020/10/07 19:44:44","N/A","A4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","false","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","N/A"
"2020","2020/10/07 19:28:53","2020/10/07 19:32:24","PERO","C4","N/A","N/A","5","M","false","juvenile","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","2020/10/07 19:28:53","2020/10/07 19:31:57","UTST","A1","N/A","N/A","3.5","M","false","N/A","false","A1B1C3","48","85","false","N/A","false","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","2020/10/07 19:28:53","2020/10/07 19:30:59","ASTI","C2","N/A","N/A","10","M","false","N/A","false","A4B1D3","79","175","true","171","false","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","2020/10/07 19:28:53","2020/10/07 19:29:44","N/A","A4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","false","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","N/A"
"2020","2020/10/07 19:27:51","2020/10/07 19:28:32","N/A","A4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","false","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","N/A"
"2020","2020/10/07 19:21:15","2020/10/07 19:23:24","UTST","A1","N/A","N/A","3","F","false","N/A","false","A1B1D2","48","84","false","N/A","false","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","2020/10/07 19:21:15","2020/10/07 19:22:22","N/A","A4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","false","0","0","0","0","0","0","0","0","0","0","25","0","0","0","0","0","0","0","0","0","0","N/A"
"2020","2020/10/07 19:19:48","2020/10/07 19:20:37","N/A","A4","N/A","N/A","N/A","N/A","N/A","no caps","N/A","N/A","N/A","N/A","N/A","N/A","N/A","false","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","N/A"
"2020","2020/10/07 19:17:17","2020/10/07 19:18:57","PERO","C4","N/A","N/A","4","U","false","juvenile","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","2020/10/07 19:17:17","2020/10/07 19:18:22","N/A","A4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","false","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","N/A"
"2020","2020/10/07 19:15:26","2020/10/07 19:16:20","N/A","A4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","false","0","0","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","N/A"
"2020","2020/09/24 20:17:37","2020/09/24 20:18:49","N/A","A4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","false","0","0","0","0","0","0","0","0","0","0","35","0","0","0","0","0","0","0","0","0","0","N/A"
